id,tenant_id,score,status,created_at,from,type,subject,preview,anomaly
54b97c30-57e4-4825-ba5f-a06689c52adc,"Kyan",-0.2,"new",1756646899,service@paypal.co.uk,email,"You've authorised a payment to UBER PAYMENTS UK LIM...","manoj popat, thanks for using PayPal.
Hello, manoj popat

You've authorised £9.95 GBP to UBER PAYMENTS UK LIM...

Merchant        UBER PAYMENTS UK LIM...
Transaction date        22 Aug 2025
Order ID        5EH0kTk2pId072mj5EkUuya0
________________",false
aad6c8cb-b29c-4243-a0cc-864e6d21afff,"Kyan",-0.2,"new",1756646899,service@paypal.co.uk,email,"You've authorised a payment to UBER PAYMENTS UK LIM...","manoj popat, thanks for using PayPal.
Hello, manoj popat

You've authorised £34.86 GBP to UBER PAYMENTS UK LIM...

Merchant        UBER PAYMENTS UK LIM...
Transaction date        22 Aug 2025
Order ID        1o0Loygd2GwPsdvscS0wpFa0
_______________",false
4b9e272a-68e2-46ca-af7c-3fd52fb6b3a7,"Kyan",-0.2,"new",1756646899,orders@pizzahut.io,email,"Your Pizza Hut Order is Confirmed","Estimated delivery time

Today
18:21 - 18:31
You can track the status
of your order below
Track My Order
Your Hut


Pizza Hut Mill Hill

111 The Broadway, Mill Hill, London, NW7 3TG

Opening Hours: 11AM - 12AM

 Call Your Hut
Order #64086",false
876a27df-80c1-41ce-9cd3-00b1b2826cfb,"Kyan",-1,"new",1756646899,"account-security-noreply@accountprotection.microsoft.com",email,"New app(s) connected to your Microsoft account","Microsoft account
New app(s) have access to your data
CyberGuard Pro Dev connected to the Microsoft account ri**7@hotmail.co.uk.
If you didn't grant this access, please remove the app(s) from your account.
Manage your apps
You can also opt out or cha",true
34dd2a9a-1abe-41db-bf6d-48925e1e682b,"Kyan",-0.2,"new",1756646899,service@paypal.co.uk,email,"You've authorised a payment to UBER PAYMENTS UK LIM...","manoj popat, thanks for using PayPal.
Hello, manoj popat

You've authorised £9.87 GBP to UBER PAYMENTS UK LIM...

Merchant        UBER PAYMENTS UK LIM...
Transaction date        21 Aug 2025
Order ID        60NuZEeVf8M9tBAOVKrMxsa0
________________",false
581f3659-f14a-4074-a1bc-b0a498087fce,"Kyan",-1,"new",1756646899,"account-security-noreply@accountprotection.microsoft.com",email,"New app(s) connected to your Microsoft account","Microsoft account
New app(s) have access to your data
CyberGuard Pro Dev connected to the Microsoft account ri**7@hotmail.co.uk.
If you didn't grant this access, please remove the app(s) from your account.
Manage your apps
You can also opt out or cha",true
c3ba5c18-4154-4bd9-9a30-3989f0e8aef6,"Kyan",-1,"new",1756646899,"msa@communication.microsoft.com",email,Updates to our terms of use,"Hello, You're receiving this email because we are updating the Microsoft Services Agreement, which applies to one or more Microsoft products or services you use. We're making these updates to clarify our terms and ensure that they remain transparent for y",true
6aa4eda1-3cc6-4e78-b996-35f3445f8ba1,"Kyan",-1,"new",1756646899,m365dev@microsoft.com,email,"Welcome to the Microsoft 365 Developer Program - please take the next step!","Microsoft 365 Developer Program | Access your profile

Microsoft 365 Developer Program

Welcome to the Microsoft 365 Developer Program
Congratulations! You have successfully joined the Microsoft 365 Developer Program. If you're a qualified member, yo",true
8a19e1a3-5b09-4186-b3b1-c8d7a356b395,"Kyan",-1,"new",1756646899,m365dev@microsoft.com,email,"Important information: You have deleted your Microsoft 365 Developer Program membership","Microsoft 365 Developer Program | Access your profile

Microsoft 365 Developer Program
We received your request to delete your Microsoft 365 Developer Program profile and membership. This message confirms that we have deleted your information.
Members",true
8ae8846e-8fe0-4d0c-bffe-d49c25749e75,"Kyan",-1,"new",1756646899,"info@emails.very.co.uk",email,"Rishi, you’ve been selected for a special offer…","Trouble viewing? Click here



It's time to shop & save on the brands you love!

It's time to shop & save on the brands you love!

Trouble viewing? Click here


Women           Men             Child & Baby            Sports          Home & Gard",true
35fa2f32-0b22-4b74-9062-eeb5b6bbd65c,"Kyan",-1,"new",1756646899,service@paypal.co.uk,email,"You have a refund from UBER PAYMENTS UK LIMITED","UBER PAYMENTS UK LIMITED sent you a partial refund of £5.25 GBP.
Hi manoj popat,

UBER PAYMENTS UK LIMITED issued a £5.25 GBP refund

The amount has been refunded to your bank account ending in 0150. It may take a few days for it to appear in your ac",true
8426d9e3-3528-4d28-a984-1a925694427d,"Kyan",-0.2,"new",1756646898,promo@p.cdkeys.com,email,"CDKeys is rebranding to Loaded","CDKeys is rebranding
After more than 10 years of selling digital game codes using a name that made sense when games were discs in a box, we’ve decided it’s finally time to make a change - we are rebranding.

In September, CDKeys will be rebranding to L",false
024dd28f-89fb-4f02-b9d2-6ed18e37a7b0,"Kyan",-0.2,"new",1756646898,hello@streetshirts.com,email,Request #262875: How would you rate the support you received?,"##- Please type your reply above this line -##

Hello Rishipopat 7,

We'd love to hear what you think of our customer service. Please take a moment to answer one simple question by clicking either link below:

How would you rate the support you rece",false
